density,porosity,mineral_content,UCS
2.700,0.120,60,110
2.750,0.135,62,115
2.680,0.125,61,112
2.720,0.110,59,108
2.750,0.140,63,116
2.710,0.115,60,111
2.730,0.130,64,118
2.740,0.145,65,119
2.690,0.120,60,110
2.725,0.125,61,113
2.680,0.135,62,115
2.750,0.140,63,120
2.710,0.130,61,114
2.700,0.115,59,109
2.730,0.125,60,110
2.740,0.135,62,116
2.750,0.130,64,117
2.720,0.140,63,118
2.695,0.120,60,111
2.725,0.125,61,113
2.710,0.135,62,115
2.680,0.130,60,112
2.740,0.145,65,119
2.750,0.140,64,120
2.710,0.130,61,114
